unit,time,y,x_linear,x_nonlinear,x_null,x_common,common_factor,scenario
U01,1,-3.0934277199762974,-2.1204179873019666,-1.9420934588665553,-0.5641995376157821,-1.1084891756128783,-1.2890938246331798,break
U01,2,-2.6428151680154564,-1.184870352273822,-1.2460392312081126,-0.9748464248434914,0.07619333317007837,-0.21715638632356793,break
U01,3,-1.763846283137323,-0.17779502797510272,-0.4806191273964202,0.6555210110376024,1.2248406427653469,1.1846386630634118,break
U01,4,-1.1027614307327007,0.3520666391991263,-0.41836090243619606,-0.23507552470632992,0.5366725116601566,0.4818268736634136,break
U01,5,0.4314121544863825,-0.7239172847308831,1.2657254889901008,-1.2282640857877798,0.7553655224695656,0.6381788695777348,break
U01,6,-0.2869643130696806,-1.6185713378826512,-0.6576376976237435,-0.2887912231579286,0.23178440867422923,0.051080874846014035,break
U01,7,-1.7939573355467773,0.8896970904932734,-2.0544869353589457,0.34967318912564627,-0.8542441928496511,-0.7334451441488269,break
U01,8,-1.5562403650595316,1.339201333410349,-0.7617262382511817,1.0677168821941523,-0.7871732673289809,-0.2898942826107799,break
U01,9,-1.4706060579624551,-1.5541993884949625,-0.6807288944456612,1.259749765008122,-0.981743734629398,-0.9337568787663932,break
U01,10,-0.4990993032104625,-1.1490426043886872,-0.466780727088527,0.5279518373516511,-1.1011840301491944,-0.68054242687396,break
U01,11,-0.6310438376558589,-1.40923380749176,0.9999737375173867,-0.620602778737221,-0.7245291480862254,-0.45838832906364246,break
U01,12,-3.3657168412134855,-1.2064910241735918,1.2664603502118705,0.38995761509232624,-0.7310813427017995,-1.0346998327731887,break
U01,13,-2.288496019511972,0.6295944432173464,-0.130379597002918,0.33853507332745314,-0.24727399399478645,-0.6825489301073662,break
U01,14,-2.48894829211983,-1.1588949098638035,-1.2838439200104423,1.0661852528918991,-0.5953288016354544,-0.7820392429392049,break
U01,15,-3.3616619784158033,1.853003336071248,0.3651182321767782,0.9685451572065684,-0.784141496737445,-0.12913902628538598,break
U01,16,-1.0336974723456356,0.6459445612645511,-0.06351242584448379,-0.5223204822479017,-1.1646968525059056,-0.47779077313900187,break
U01,17,0.5394741995943527,-0.22938413037066596,0.13394702906267092,-0.16208060253069548,-0.9897694386107543,-0.17792525721347777,break
U01,18,0.3118658098560767,-1.317758418217381,0.37973690604359833,-1.1904392877219399,-0.04587369583231393,-0.2910526113938311,break
U01,19,-0.7662129803856061,-0.8047217727260209,0.11915612601419213,0.9949054065328471,-0.26478212722399275,-0.2588904741071179,break
U01,20,-0.9052040523616868,0.7889639748407435,1.0382285572805716,0.6723567174506668,1.7217398922128337,1.1625107075432033,break
U01,21,0.0526880944231769,1.2045301209421677,0.8823161914900399,0.18026098815136302,1.3943275259412082,1.1492912854284365,break
U01,22,1.8531631816035747,0.444827263212856,1.9327975533419806,-0.07691981966325098,1.3092807265146518,1.30581416899265,break
U01,23,1.7094593824284654,1.2062324547904137,1.8492068860951205,0.8724240005746529,1.257379862851253,0.9406470770364824,break
U01,24,2.316393763524548,1.2115657642545983,-1.1135407706816345,1.4831051254538763,0.7968654316045072,0.9181541877844124,break
U01,25,1.3625755239401078,0.872643037600713,0.34105725650783303,0.5901688434915134,0.09297319630126283,0.37325285367586336,break
U01,26,0.13477663958399355,0.41490210956541346,-0.19819600923550112,-0.023428406574711708,1.499697325201294,1.2555164426773155,break
U01,27,1.7254048625345573,-0.5887316859420217,-1.1462982867685996,-0.34137160053051463,0.5169525022950581,0.6290180906127061,break
U01,28,-0.4703521461260094,-0.18098977526334242,-1.5680921792402291,-0.73372422551395,0.06999632775070985,-0.2797634560467365,break
U02,1,-0.6699744055135319,0.0131470274977251,-0.5946654302517589,-0.20623054246913014,-1.4688840954267608,-1.2890938246331798,break
U02,2,0.9243985656696282,2.0680837874948805,1.5737588533080444,1.3157238347903626,-0.8920477802269366,-0.21715638632356793,break
U02,3,0.3778203242567406,0.4662835147542749,1.4624178453420682,0.48318595433322936,0.3975977948845477,1.1846386630634118,break
U02,4,2.904120121738348,0.7951234021471815,-0.24636656520300512,-0.2244758001750406,0.5505709280229829,0.4818268736634136,break
